pokedex_number,name,generation,genus,type1,type2,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,entry_red,entry_blue,entry_gold,entry_ruby,entry_diamond,entry_black,entry_x,entry_sun,entry_sword,entry_scarlet
567,Archeops,V,First Bird Pokémon,Rock,Flying,1.4,32.0,75,140,65,112,65,110,Defeatist,Archen,,,,,,"They are intelligent and will cooperate to catch prey. From the ground, they use a running start to take flight.","They are intelligent and will cooperate to catch prey. From the ground, they use a running start to take flight.","Although apparently able to fly, they tended to run along the ground, averaging speeds of roughly 25 mph.","It needs a running start to take off. If Archeops wants to fly, it first needs to run nearly 25 mph, building speed over a course of about 2.5 miles.",
568,Trubbish,V,Trash Bag Pokémon,Poison,,0.6,31.0,50,50,62,40,62,65,"Stench, Sticky Hold, Aftermath",,,,,,,Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places.,The combination of garbage bags and industrial waste caused the chemical reaction that created this Pokémon.,"Unsanitary places are what they like best. They can be spotted in Alola, often with Grimer in hot pursuit.","Its favorite places are unsanitary ones. If you leave trash lying around, you could even find one of these Pokémon living in your room.",
569,Garbodor,V,Trash Heap Pokémon,Poison,,1.9,107.3,80,95,82,60,82,75,"Stench, Weak Armor, Aftermath",Trubbish,,,,,,It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.,It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.,"Beware the poisonous liquid it shoots from its right arm. If even a little of it gets on you, you’ll experience the effects of the unidentified toxin.","This Pokémon eats trash, which turns into poison inside its body. The main component of the poison depends on what sort of trash was eaten.",
570,Zorua,V,Tricky Fox Pokémon,Dark,,0.7,12.5,40,65,40,80,40,65,Illusion,,,,,,,"It changes into the forms of others to surprise them. Apparently, it often transforms into a silent child.","It changes so it looks just like its foe, tricks it, and then uses that opportunity to flee.",,Zorua is a timid Pokémon. This disposition seems to be what led to the development of Zorua’s ability to take on the forms of other creatures.,
571,Zoroark,V,Illusion Fox Pokémon,Dark,,1.6,81.1,60,105,60,120,60,105,Illusion,Zorua,,,,,,Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.,Each has the ability to fool a large group of people simultaneously. They protect their lair with illusory scenery.,,"This Pokémon cares deeply about others of its kind, and it will conjure terrifying illusions to keep its den and pack safe.",
572,Minccino,V,Chinchilla Pokémon,Normal,,0.4,5.8,55,50,40,40,40,75,"Cute Charm, Technician, Skill Link",,,,,,,"They greet one another by rubbing each other with their tails, which are always kept well groomed and clean.",Minccino greet each other by grooming one another thoroughly with their tails.,,The way it brushes away grime with its tail can be helpful when cleaning. But its focus on spotlessness can make cleaning more of a hassle.,
573,Cinccino,V,Scarf Pokémon,Normal,,0.5,7.5,75,95,60,65,60,115,"Cute Charm, Technician, Skill Link",Minccino,,,,,,Their white fur is coated in a special oil that makes it easy for them to deflect attacks.,Their white fur feels amazing to touch. Their fur repels dust and prevents static electricity from building up.,,Its body secretes oil that this Pokémon spreads over its nest as a coating to protect it from dust. Cinccino won’t tolerate even a speck of the stuff.,
574,Gothita,V,Fixation Pokémon,Psychic,,0.4,5.8,45,30,50,55,65,45,"Frisk, Competitive, Shadow Tag",,,,,,,Their ribbonlike feelers increase their psychic power. They are always staring at something.,Their ribbonlike feelers increase their psychic power. They are always staring at something.,,"Though they’re still only babies, there’s psychic power stored in their ribbonlike feelers, and sometimes they use that power to fight.",
575,Gothorita,V,Manipulate Pokémon,Psychic,,0.7,18.0,60,45,70,75,85,55,"Frisk, Competitive, Shadow Tag",Gothita,,,,,,They use hypnosis to control people and Pokémon. Tales of Gothorita leading people astray are told in every corner.,"Starlight is the source of their power. At night, they mark star positions by using psychic power to float stones.",,"It’s said that when stars shine in the night sky, this Pokémon will spirit away sleeping children. Some call it the Witch of Punishment.",
576,Gothitelle,V,Astral Body Pokémon,Psychic,,1.5,44.0,70,55,95,95,110,65,"Frisk, Competitive, Shadow Tag",Gothorita,,,,,,Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.,Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.,,"It has tremendous psychic power, but it dislikes conflict. It’s also able to predict the future based on the movement of the stars.",
577,Solosis,V,Cell Pokémon,Psychic,,0.3,1.0,45,30,40,105,50,20,"Overcoat, Magic Guard, Regenerator",,,,,,,They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.,"Because their bodies are enveloped in a special liquid, they are fine in any environment, no matter how severe.",,"It communicates with others telepathically. Its body is encapsulated in liquid, but if it takes a heavy blow, the liquid will leak out.",
578,Duosion,V,Mitosis Pokémon,Psychic,,0.6,8.0,65,40,50,125,60,30,"Overcoat, Magic Guard, Regenerator",Solosis,,,,,,"Since they have two divided brains, at times they suddenly try to take two different actions at once.","Since they have two divided brains, at times they suddenly try to take two different actions at once.",,Its psychic power can supposedly cover a range of more than half a mile—but only if its two brains can agree with each other.,
579,Reuniclus,V,Multiplying Pokémon,Psychic,,1.0,20.1,110,65,75,125,85,30,"Overcoat, Magic Guard, Regenerator",Duosion,,,,,,"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power.","They use psychic power to control their arms, which are made of a special liquid. They can crush boulders psychically.",,"While it could use its psychic abilities in battle, this Pokémon prefers to swing its powerful arms around to beat opponents into submission.",
580,Ducklett,V,Water Bird Pokémon,Water,Flying,0.5,5.5,62,44,50,44,50,55,"Keen Eye, Big Pecks, Hydration",,,,,,,These bird Pokémon are excellent divers. They swim around in the water eating their favorite food--peat moss.,"When attacked, it uses its feathers to splash water, escaping under cover of the spray.",,,
581,Swanna,V,White Bird Pokémon,Water,Flying,1.3,24.2,75,87,63,87,63,98,"Keen Eye, Big Pecks, Hydration",Ducklett,,,,,,Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.,"Despite their elegant appearance, they can flap their wings strongly and fly for thousands of miles.",,,
582,Vanillite,V,Fresh Snow Pokémon,Ice,,0.4,5.7,36,50,50,65,60,44,"Ice Body, Snow Cloak, Weak Armor",,,,,,,The temperature of their breath is -58° F. They create snow crystals and make snow fall in the areas around them.,The temperature of their breath is -58 degrees Fahrenheit. They create snow crystals and make snow fall in the areas around them.,"Born of an icicle, this Pokémon uses its frosty breath to make ice crystals, causing snow to fall.","Unable to survive in hot areas, it makes itself comfortable by breathing out air cold enough to cause snow. It burrows into the snow to sleep.",
583,Vanillish,V,Icy Snow Pokémon,Ice,,1.1,41.0,51,65,65,80,75,59,"Ice Body, Snow Cloak, Weak Armor",Vanillite,,,,,,"Snowy mountains are this Pokémon’s habitat. During an ancient ice age, they moved to southern areas.","They cool down the surrounding air and create ice particles, which they use to freeze their foes.","Hot days cause its body to melt. It can be restored by refreezing it, but the process leaves its body slightly warped.","By drinking pure water, it grows its icy body. This Pokémon can be hard to find on days with warm, sunny weather.",
584,Vanilluxe,V,Snowstorm Pokémon,Ice,,1.3,57.5,71,95,85,110,95,79,"Ice Body, Snow Warning, Weak Armor",Vanillish,,,,,,"Swallowing large amounts of water, they make snow clouds inside their bodies and attack their foes with violent blizzards.","If both heads get angry simultaneously, this Pokémon expels a blizzard, burying everything in snow.","Each of its two heads has a brain, and when they are in agreement, it attacks its enemies by exhaling a violent blizzard.","When its anger reaches a breaking point, this Pokémon unleashes a fierce blizzard that freezes every creature around it, be they friend or foe.",
585,Deerling,V,Season Pokémon,Normal,Grass,0.6,19.5,60,60,50,40,50,75,"Chlorophyll, Sap Sipper, Serene Grace",,,,,,,"The color and scent of their fur changes to match the mountain grass. When they sense hostility, they hide in the grass.",Their coloring changes according to the seasons and can be slightly affected by the temperature and humidity as well.,,,
586,Sawsbuck,V,Season Pokémon,Normal,Grass,1.9,92.5,80,100,70,60,70,95,"Chlorophyll, Sap Sipper, Serene Grace",Deerling,,,,,,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.,,,
587,Emolga,V,Sky Squirrel Pokémon,Electric,Flying,0.4,5.0,55,75,60,75,60,103,"Static, Motor Drive",,,,,,,The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.,They live on treetops and glide using the inside of a cape-like membrane while discharging electricity.,"It glides using its cape-like membrane. Electrical energy scatters from it, shocking its friends and foes alike.","As Emolga flutters through the air, it crackles with electricity. This Pokémon is cute, but it can cause a lot of trouble.",
588,Karrablast,V,Clamping Pokémon,Bug,,0.5,5.9,50,75,45,40,45,60,"Swarm, Shed Skin, No Guard",,,,,,,These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,,Its strange physiology reacts to electrical energy in interesting ways. The presence of a Shelmet will cause this Pokémon to evolve.,
589,Escavalier,V,Cavalry Pokémon,Bug,Steel,1.0,33.0,70,135,105,60,105,20,"Swarm, Shell Armor, Overcoat",Karrablast,,,,,,"They fly around at high speed, striking with their pointed spears. Even when in trouble, they face opponents bravely.","Wearing the shell covering they stole from Shelmet, they defend themselves and attack with two lances.",,They use shells they’ve stolen from Shelmet to arm and protect themselves. They’re very popular Pokémon in the Galar region.,
590,Foongus,V,Mushroom Pokémon,Grass,Poison,0.2,1.0,69,55,45,55,55,15,"Effect Spore, Regenerator",,,,,,,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown.","It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown.",,No one knows what the Poké Ball–like pattern on Foongus means or why Foongus has it.,
591,Amoonguss,V,Mushroom Pokémon,Grass,Poison,0.6,10.5,114,85,70,85,80,30,"Effect Spore, Regenerator",Foongus,,,,,,"It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion.","They show off their Poké Ball caps to lure prey, but very few Pokémon are fooled by this.",,"This Pokémon puffs poisonous spores at its foes. If the spores aren’t washed off quickly, they’ll grow into mushrooms wherever they land.",
592,Frillish,V,Floating Pokémon,Water,Ghost,1.2,33.0,55,40,50,65,85,40,"Water Absorb, Cursed Body, Damp",,,,,,,"With its thin, veil-like arms wrapped around the body of its opponent, it sinks to the ocean floor.","They paralyze prey with poison, then drag them down to their lairs, five miles below the surface.",,"It envelops its prey in its veillike arms and draws it down to the deeps, five miles below the ocean’s surface.",
593,Jellicent,V,Floating Pokémon,Water,Ghost,2.2,135.0,100,60,70,85,105,60,"Water Absorb, Cursed Body, Damp",Frillish,,,,,,"The fate of the ships and crew that wander into Jellicent’s habitat: all sunken, all lost, all vanished.",Its body is mostly seawater. It’s said there’s a castle of ships Jellicent have sunk on the seafloor.,,Most of this Pokémon’s body composition is identical to sea water. It makes sunken ships its lair.,
594,Alomomola,V,Caring Pokémon,Water,,1.2,31.6,165,75,80,40,45,65,"Healer, Hydration, Regenerator",,,,,,,The special membrane enveloping Alomomola has the ability to heal wounds.,"Floating in the open sea is how they live. When they find a wounded Pokémon, they embrace it and bring it to shore.",It uses its special mucus to close the wounds of injured Pokémon. The reason for this behavior remains unknown.,,
595,Joltik,V,Attaching Pokémon,Bug,Electric,0.1,0.6,50,47,50,57,50,65,"Compound Eyes, Unnerve, Swarm",,,,,,,Joltik that live in cities have learned a technique for sucking electricity from the outlets in houses.,"Since it can’t generate its own electricity, it sticks onto large-bodied Pokémon and absorbs static electricity.",,Joltik can be found clinging to other Pokémon. It’s soaking up static electricity because it can’t produce a charge on its own.,
596,Galvantula,V,EleSpider Pokémon,Bug,Electric,0.8,14.3,70,77,60,97,60,108,"Compound Eyes, Unnerve, Swarm",Joltik,,,,,,"When attacked, they create an electric barrier by spitting out many electrically charged threads.","They employ an electrically charged web to trap their prey. While it is immobilized by shock, they leisurely consume it.",,It launches electrified fur from its abdomen as its means of attack. Opponents hit by the fur could be in for three full days and nights of paralysis.,
597,Ferroseed,V,Thorn Seed Pokémon,Grass,Steel,0.6,18.8,44,50,91,24,86,10,Iron Barbs,,,,,,,"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away.","When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away.",,"It defends itself by launching spikes, but its aim isn’t very good at first. Only after a lot of practice will it improve.",
598,Ferrothorn,V,Thorn Pod Pokémon,Grass,Steel,1.0,110.0,74,94,131,54,116,20,"Iron Barbs, Anticipation",Ferroseed,,,,,,It fights by swinging around its three spiky feelers. A hit from these steel spikes can reduce a boulder to rubble.,"By swinging around its three spiky feelers and shooting spikes, it can obliterate an opponent.",,"This Pokémon scrapes its spikes across rocks, and then uses the tips of its feelers to absorb the nutrients it finds within the stone.",
599,Klink,V,Gear Pokémon,Steel,,0.3,21.0,40,55,70,45,60,30,"Plus, Minus, Clear Body",,,,,,,The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.,Interlocking two bodies and spinning around generates the energy they need to live.,,The two minigears that compose this Pokémon are closer than twins. They mesh well only with each other.,
600,Klang,V,Gear Pokémon,Steel,,0.6,51.0,60,80,95,70,85,50,"Plus, Minus, Clear Body",Klink,,,,,,"By changing the direction in which it rotates, it communicates its feelings to others. When angry, it rotates faster.","By changing the direction in which it rotates, it communicates its feelings to others. When angry, it rotates faster.",,"When Klang goes all out, the minigear links up perfectly with the outer part of the big gear, and this Pokémon’s rotation speed increases sharply.",
601,Klinklang,V,Gear Pokémon,Steel,,0.6,81.0,60,100,115,70,85,90,"Plus, Minus, Clear Body",Klang,,,,,,Its red core functions as an energy tank. It fires the charged energy through its spikes into an area.,The gear with the red core is rotated at high speed for a rapid energy charge.,,"From its spikes, it launches powerful blasts of electricity. Its red core contains an enormous amount of energy.",
602,Tynamo,V,EleFish Pokémon,Electric,,0.2,0.3,35,55,40,45,40,60,Levitate,,,,,,,"While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning.","While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning.",,,
603,Eelektrik,V,EleFish Pokémon,Electric,,1.2,22.0,65,85,70,75,70,40,Levitate,Tynamo,,,,,,They coil around foes and shock them with electricity-generating organs that seem simply to be circular patterns.,It wraps itself around its prey and paralyzes it with electricity from the round spots on its sides. Then it chomps.,,,
604,Eelektross,V,EleFish Pokémon,Electric,,2.1,80.5,85,115,80,105,80,50,Levitate,Eelektrik,,,,,,They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.,"With their sucker mouths, they suck in prey. Then they use their fangs to shock the prey with electricity.",,,
605,Elgyem,V,Cerebral Pokémon,Psychic,,0.5,9.0,55,55,55,85,55,30,"Telepathy, Synchronize, Analytic",,,,,,,"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches.","It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches.",,"If this Pokémon stands near a TV, strange scenery will appear on the screen. That scenery is said to be from its home.",
606,Beheeyem,V,Cerebral Pokémon,Psychic,,1.0,34.5,75,75,75,125,95,40,"Telepathy, Synchronize, Analytic",Elgyem,,,,,,"It can manipulate an opponent’s memory. Apparently, it communicates by flashing its three different-colored fingers.","Apparently, it communicates by flashing its three fingers, but those patterns haven’t been decoded.",,"Whenever a Beheeyem visits a farm, a Dubwool mysteriously disappears.",
607,Litwick,V,Candle Pokémon,Ghost,Fire,0.3,3.1,50,30,55,65,55,20,"Flash Fire, Flame Body, Infiltrator",,,,,,,"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns.","While shining a light and pretending to be a guide, it leeches off the life force of any who follow it.",,The flame on its head keeps its body slightly warm. This Pokémon takes lost children by the hand to guide them to the spirit world.,
608,Lampent,V,Lamp Pokémon,Ghost,Fire,0.6,13.0,60,40,60,95,60,55,"Flash Fire, Flame Body, Infiltrator",Litwick,,,,,,"This ominous Pokémon is feared. Through cities it wanders, searching for the spirits of the fallen.",The spirits it absorbs fuel its baleful fire. It hangs around hospitals waiting for people to pass on.,,"This Pokémon appears just before someone passes away, so it’s feared as an emissary of death.",
609,Chandelure,V,Luring Pokémon,Ghost,Fire,1.0,34.3,60,55,90,145,90,80,"Flash Fire, Flame Body, Infiltrator",Lampent,,,,,,"It absorbs a spirit, which it then burns. By waving the flames on its arms, it puts its foes into a hypnotic trance.","Being consumed in Chandelure’s flame burns up the spirit, leaving the body behind.",,This Pokémon haunts dilapidated mansions. It sways its arms to hypnotize opponents with the ominous dancing of its flames.,
610,Axew,V,Tusk Pokémon,Dragon,,0.6,18.0,46,87,60,30,40,57,"Rivalry, Mold Breaker, Unnerve",,,,,,,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.,,These Pokémon nest in the ground and use their tusks to crush hard berries. Crushing berries is also how they test each other’s strength.,
611,Fraxure,V,Axe Jaw Pokémon,Dragon,,1.0,36.0,66,117,70,40,50,67,"Rivalry, Mold Breaker, Unnerve",Axew,,,,,,"Since a broken tusk will not grow back, they diligently sharpen their tusks on river rocks after they’ve been fighting.",Their tusks can shatter rocks. Territory battles between Fraxure can be intensely violent.,,"After battle, this Pokémon carefully sharpens its tusks on river rocks. It needs to take care of its tusks—if one breaks, it will never grow back.",
612,Haxorus,V,Axe Jaw Pokémon,Dragon,,1.8,105.5,76,147,90,60,70,97,"Rivalry, Mold Breaker, Unnerve",Fraxure,,,,,,They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.,They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.,,Its resilient tusks are its pride and joy. It licks up dirt to take in the minerals it needs to keep its tusks in top condition.,
613,Cubchoo,V,Chill Pokémon,Ice,,0.5,8.5,55,70,40,60,40,40,"Snow Cloak, Slush Rush, Rattled",,,,,,,"When it is not feeling well, its mucus gets watery and the power of its Ice-type moves decreases.",Its nose is always running. It sniffs the snot back up because the mucus provides the raw material for its moves.,,"When this Pokémon is in good health, its snot becomes thicker and stickier. It will smear its snot on anyone it doesn’t like.",
614,Beartic,V,Freezing Pokémon,Ice,,2.6,260.0,95,130,80,70,80,50,"Snow Cloak, Slush Rush, Swift Swim",Cubchoo,,,,,,"It can make its breath freeze at will. Very able in the water, it swims around in northern seas and catches prey.",They love the cold seas of the north. They create pathways across the ocean waters by freezing their own breath.,,"It swims through frigid seas, searching for prey. From its frozen breath, it forms icy fangs that are harder than steel.",
615,Cryogonal,V,Crystallizing Pokémon,Ice,,1.1,148.0,80,50,50,95,135,105,Levitate,,,,,,,"When its body temperature goes up, it turns into steam and vanishes. When its temperature lowers, it returns to ice.",They are born in snow clouds. They use chains made of ice crystals to capture prey.,,"With its icy chains, Cryogonal freezes those it encounters. It then takes its victims away to somewhere unknown.",
616,Shelmet,V,Snail Pokémon,Bug,,0.4,7.7,50,40,85,40,65,25,"Hydration, Shell Armor, Overcoat",,,,,,,"When attacked, it defends itself by closing the lid of its shell. It can spit a sticky, poisonous liquid.","When it and Karrablast are together, and both receive electrical stimulation, they both evolve.",,"When attacked, it tightly shuts the lid of its shell. This reaction fails to protect it from Karrablast, however, because they can still get into the shell.",
617,Accelgor,V,Shell Out Pokémon,Bug,,0.8,25.3,80,70,40,100,60,145,"Hydration, Sticky Hold, Unburden",Shelmet,,,,,,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.","Having removed its heavy shell, it becomes very light and can fight with ninja-like movements.",,It moves with blinding speed and lobs poison at foes. Featuring Accelgor as a main character is a surefire way to make a movie or comic popular.,
618,Stunfisk,V,Trap Pokémon,Ground,Electric,0.7,11.0,109,66,84,81,99,32,"Static, Limber, Sand Veil",,,,,,,"Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.","Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.",,"Thanks to bacteria that lived in the mud flats with it, this Pokémon developed the organs it uses to generate electricity.",
619,Mienfoo,V,Martial Arts Pokémon,Fighting,,0.9,20.0,45,85,50,55,50,65,"Inner Focus, Regenerator, Reckless",,,,,,,"In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies.","It takes pride in the speed at which it can use moves. What it loses in power, it makes up for in quantity.",,"In one minute, a well-trained Mienfoo can chop with its arms more than 100 times.",
620,Mienshao,V,Martial Arts Pokémon,Fighting,,1.4,35.5,65,125,60,95,60,105,"Inner Focus, Regenerator, Reckless",Mienfoo,,,,,,It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot even be seen.,It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot even be seen.,,"When Mienshao comes across a truly challenging opponent, it will lighten itself by biting off the fur on its arms.",
621,Druddigon,V,Cave Pokémon,Dragon,,1.6,139.0,77,120,90,60,90,48,"Rough Skin, Sheer Force, Mold Breaker",,,,,,,"It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move.","It races through narrow caves, using its sharp claws to catch prey. The skin on its face is harder than a rock.",,"Druddigon lives in caves, but it never skips sunbathing—it won’t be able to move if its body gets too cold.",
622,Golett,V,Automaton Pokémon,Ground,Ghost,1.0,92.0,59,74,50,35,50,35,"Iron Fist, Klutz, No Guard",,,,,,,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.","The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.",,"They were sculpted from clay in ancient times. No one knows why, but some of them are driven to continually line up boulders.",
623,Golurk,V,Automaton Pokémon,Ground,Ghost,2.8,330.0,89,124,80,55,80,55,"Iron Fist, Klutz, No Guard",Golett,,,,,,It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.,It is said that Golurk were ordered to protect people and Pokémon by the ancient people who made them.,,Artillery platforms built into the walls of ancient castles served as perches from which Golurk could fire energy beams.,
624,Pawniard,V,Sharp Blade Pokémon,Dark,Steel,0.5,10.2,45,85,70,40,40,60,"Defiant, Inner Focus, Pressure",,,,,,,"Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river.","Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river.",,It uses river stones to maintain the cutting edges of the blades covering its body. These sharpened blades allow it to bring down opponents.,
625,Bisharp,V,Sword Blade Pokémon,Dark,Steel,1.6,70.0,65,125,100,60,70,70,"Defiant, Inner Focus, Pressure",Pawniard,,,,,,"It leads a group of Pawniard. It battles to become the boss, but will be driven from the group if it loses.",This pitiless Pokémon commands a group of Pawniard to hound prey into immobility. It then moves in to finish the prey off.,,"It’s accompanied by a large retinue of Pawniard. Bisharp keeps a keen eye on its minions, ensuring none of them even think of double-crossing it.",
626,Bouffalant,V,Bash Buffalo Pokémon,Normal,,1.6,94.6,95,110,95,40,95,55,"Reckless, Sap Sipper, Soundproof",,,,,,,"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt.",They charge wildly and headbutt everything. Their headbutts have enough destructive force to derail a train.,,These Pokémon can crush a car with no more than a headbutt. Bouffalant with more hair on their heads hold higher positions within the herd.,
627,Rufflet,V,Eaglet Pokémon,Normal,Flying,0.5,10.5,70,83,50,37,50,60,"Keen Eye, Sheer Force, Hustle",,,,,,,"They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is.","They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is.",They pick fights indiscriminately. They grow stronger and more powerful each time they faint or are injured.,"If it spies a strong Pokémon, Rufflet can’t resist challenging it to a battle. But if Rufflet loses, it starts bawling.",
628,Braviary,V,Valiant Pokémon,Normal,Flying,1.5,41.0,100,123,75,57,75,80,"Keen Eye, Sheer Force, Defiant",Rufflet,,,,,,They fight for their friends without any thought about danger to themselves. One can carry a car while flying.,"For the sake of its friends, this brave warrior of the sky will not stop battling, even if injured.","With its brave disposition, it fears nothing—not even death. Ancient Alolan people respected it, referring to it as “the hero of the sky.”","Known for its bravery and pride, this majestic Pokémon is often seen as a motif for various kinds of emblems.",
629,Vullaby,V,Diapered Pokémon,Dark,Flying,0.5,9.0,70,55,75,45,65,60,"Big Pecks, Overcoat, Weak Armor",,,,,,,"Its wings are too tiny to allow it to fly. As the time approaches for it to evolve, it discards the bones it was wearing.","Its wings are too tiny to allow it to fly. As the time approaches for it to evolve, it discards the bones it was wearing.","It protects its plump posterior with the bones of prey it has consumed. As it grows, it  replaces the bones.",It wears a bone to protect its rear. It often squabbles with others of its kind over particularly comfy bones.,
630,Mandibuzz,V,Bone Vulture Pokémon,Dark,Flying,1.2,39.5,110,65,105,55,95,80,"Big Pecks, Overcoat, Weak Armor",Vullaby,,,,,,It makes a nest out of bones it finds. It grabs weakened prey in its talons and hauls it to its nest of bones.,"They fly in circles around the sky. When they spot prey, they attack and carry it back to their nest with ease.","They adorn themselves beautifully with bones. This is supposedly an effort to attract males, but no male Mandibuzz have ever been found.","Although it’s a bit of a ruffian, this Pokémon will take lost Vullaby under its wing and care for them till they’re ready to leave the nest.",
631,Heatmor,V,Anteater Pokémon,Fire,,1.4,58.0,85,97,66,105,66,65,"Gluttony, Flash Fire, White Smoke",,,,,,,It breathes through a hole in its tail while it burns with an internal fire. Durant is its prey.,"Using their very hot, flame-covered tongues, they burn through Durant’s steel bodies and consume their insides.",,"There’s a hole in its tail that allows it to draw in the air it needs to keep its fire burning. If the hole gets blocked, this Pokémon will fall ill.",
632,Durant,V,Iron Ant Pokémon,Bug,Steel,0.3,33.0,58,109,112,48,48,109,"Swarm, Hustle, Truant",,,,,,,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.","Individuals each play different roles in driving Heatmor, their natural predator, away from their colony.",,"They lay their eggs deep inside their nests. When attacked by Heatmor, they retaliate using their massive mandibles.",
633,Deino,V,Irate Pokémon,Dark,Dragon,0.8,17.3,52,65,50,45,50,38,Hustle,,,,,,,"It tends to bite everything, and it is not a picky eater. Approaching it carelessly is dangerous.","They cannot see, so they tackle and bite to learn about their surroundings. Their bodies are covered in wounds.",,"When it encounters something, its first urge is usually to bite it. If it likes what it tastes, it will commit the associated scent to memory.",
634,Zweilous,V,Hostile Pokémon,Dark,Dragon,1.4,50.0,72,85,70,65,70,58,Hustle,Deino,,,,,,"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along.",The two heads do not get along. Whichever head eats more than the other gets to be the leader.,,"While hunting for prey, Zweilous wanders its territory, its two heads often bickering over which way to go.",
635,Hydreigon,V,Brutal Pokémon,Dark,Dragon,1.8,160.0,92,105,90,125,90,98,Levitate,Zweilous,,,,,,"This brutal Pokémon travels the skies on its six wings. Anything that moves seems like a foe to it, triggering its attack.",The heads on their arms do not have brains. They use all three heads to consume and destroy everything.,,There are a slew of stories about villages that were destroyed by Hydreigon. It bites anything that moves.,
636,Larvesta,V,Torch Pokémon,Bug,Fire,1.1,28.8,55,85,55,50,55,60,"Flame Body, Swarm",,,,,,,"This Pokémon was believed to have been born from the sun. When it evolves, its entire body is engulfed in flames.","Said to have been born from the sun, it spews fire from its horns and encases itself in a cocoon of fire when it evolves.",,The people of ancient times believed that Larvesta fell from the sun.,
637,Volcarona,V,Sun Pokémon,Bug,Fire,1.6,46.0,85,60,65,135,105,100,"Flame Body, Swarm",Larvesta,,,,,,"When volcanic ash darkened the atmosphere, it is said that Volcarona’s fire provided a replacement for the sun.","A sea of fire engulfs the surroundings of their battles, since they use their six wings to scatter their ember scales.",,Volcarona scatters burning scales. Some say it does this to start fires. Others say it’s trying to rescue those that suffer in the cold.,
638,Cobalion,V,Iron Will Pokémon,Steel,Fighting,2.1,250.0,91,90,129,90,72,108,Justified,,,,,,,This legendary Pokémon battled against humans to protect Pokémon. Its personality is calm and composed.,It has a body and heart of steel. Its glare is sufficient to make even an unruly Pokémon obey it.,,"This Pokémon appears in a legend alongside Terrakion and Virizion, fighting against humans in defense of the Unova region’s Pokémon.",
